iter	Passed	Remaining
0	146	146224
1	147	73404
2	147	49114
3	148	37053
4	149	29762
5	150	24885
6	150	21401
7	151	18785
8	152	16753
9	152	15124
10	153	13828
11	154	12727
12	155	11786
13	155	10977
14	156	10277
15	157	9666
16	157	9125
17	158	8643
18	159	8213
19	159	7832
20	161	7508
21	161	7189
22	162	6897
23	162	6628
24	163	6382
25	164	6154
26	164	5943
27	165	5746
28	166	5563
29	167	5408
30	168	5252
31	168	5102
32	169	4962
33	170	4830
34	170	4704
35	171	4586
36	171	4473
37	172	4367
38	173	4266
39	174	4184
40	175	4097
41	175	4011
42	176	3928
43	177	3848
44	177	3773
45	178	3700
46	179	3631
47	179	3564
48	180	3500
49	181	3448
50	182	3389
51	182	3332
52	183	3277
53	184	3224
54	184	3173
55	185	3124
56	186	3077
57	186	3032
58	187	2991
59	188	2953
60	189	2911
61	189	2871
62	190	2833
63	191	2796
64	191	2761
65	192	2727
66	193	2693
67	194	2660
68	195	2636
69	196	2607
70	196	2576
71	197	2546
72	198	2516
73	198	2487
74	199	2460
75	200	2433
76	200	2407
77	201	2381
78	202	2360
79	203	2338
80	204	2315
81	204	2293
82	205	2268
83	205	2245
84	206	2225
85	207	2205
86	208	2184
87	208	2165
88	209	2149
89	210	2129
90	211	2110
91	211	2091
92	212	2073
93	213	2056
94	214	2039
95	214	2021
96	215	2004
97	215	1987
98	216	1974
99	217	1959
100	218	1943
101	219	1928
102	219	1912
103	220	1897
104	220	1883
105	221	1868
106	222	1854
107	222	1840
108	223	1828
109	224	1820
110	225	1806
111	226	1793
112	226	1781
113	227	1768
114	228	1756
115	228	1743
116	229	1730
117	229	1718
118	230	1708
119	231	1700
120	232	1689
121	233	1677
122	233	1666
123	234	1655
124	234	1644
125	235	1634
126	236	1623
127	236	1613
128	237	1603
129	238	1593
130	239	1586
131	239	1577
132	240	1567
133	241	1558
134	241	1549
135	242	1540
136	243	1531
137	243	1522
138	244	1514
139	245	1505
140	246	1498
141	246	1490
142	247	1481
143	247	1473
144	248	1465
145	249	1457
146	249	1449
147	250	1442
148	251	1434
149	251	1426
150	252	1419
151	253	1413
152	254	1407
153	254	1400
154	255	1394
155	256	1388
156	257	1382
157	258	1375
158	258	1368
159	259	1361
160	259	1353
161	260	1349
162	261	1343
163	262	1337
164	263	1331
165	263	1324
166	264	1318
167	264	1311
168	265	1305
169	266	1299
170	266	1293
171	267	1288
172	268	1283
173	269	1278
174	269	1272
175	270	1266
176	271	1261
177	271	1255
178	272	1249
179	273	1244
180	273	1238
181	274	1233
182	275	1229
183	276	1224
184	276	1219
185	277	1214
186	278	1209
187	278	1203
188	279	1198
189	279	1193
190	280	1189
191	281	1184
192	282	1182
193	283	1178
194	284	1174
195	285	1169
196	285	1165
197	286	1161
198	287	1156
199	288	1153
200	289	1151
201	290	1148
202	291	1143
203	292	1139
204	292	1135
205	293	1131
206	294	1128
207	295	1125
208	298	1129
209	299	1126
210	300	1123
211	301	1120
212	302	1118
213	303	1114
214	304	1113
215	305	1110
216	306	1106
217	307	1103
218	308	1099
219	308	1095
220	309	1091
221	310	1088
222	311	1086
223	312	1083
224	313	1079
225	314	1075
226	314	1072
227	315	1068
228	316	1065
229	317	1061
230	319	1064
231	321	1062
232	322	1060
233	323	1057
234	323	1054
235	324	1050
236	325	1048
237	326	1046
238	327	1043
239	328	1041
240	329	1038
241	330	1035
242	331	1032
243	332	1029
244	333	1028
245	334	1025
246	335	1022
247	336	1019
248	336	1016
249	337	1012
250	338	1009
251	341	1013
252	342	1011
253	343	1008
254	344	1006
255	345	1003
256	346	1001
257	348	1002
258	350	1002
259	351	1000
260	352	998
261	353	996
262	354	994
263	356	992
264	356	989
265	357	986
266	358	983
267	359	980
268	359	977
269	360	974
270	361	972
271	363	971
272	363	968
273	364	965
274	365	962
275	365	959
276	366	956
277	367	953
278	367	950
279	368	947
280	369	946
281	370	943
282	371	940
283	371	937
284	372	934
285	373	931
286	373	928
287	374	925
288	375	922
289	375	920
290	376	918
291	377	915
292	378	912
293	378	909
294	379	906
295	380	904
296	380	901
297	382	899
298	383	898
299	384	896
300	385	894
301	385	891
302	386	888
303	387	886
304	387	883
305	388	881
306	389	878
307	390	876
308	391	874
309	392	872
310	392	869
311	393	867
312	393	864
313	394	862
314	395	859
315	395	856
316	396	854
317	397	851
318	397	849
319	398	847
320	399	845
321	400	842
322	400	840
323	401	837
324	402	835
325	402	832
326	403	830
327	403	827
328	404	825
329	405	823
330	406	821
331	407	819
332	407	816
333	408	814
334	409	811
335	409	809
336	410	807
337	410	804
338	411	802
339	412	800
340	413	798
341	413	796
342	414	794
343	415	791
344	415	789
345	416	787
346	417	785
347	417	782
348	418	780
349	419	778
350	419	776
351	420	774
352	421	772
353	422	770
354	422	768
355	423	766
356	424	763
357	424	761
358	425	759
359	426	757
360	426	755
361	428	754
362	428	752
363	429	750
364	430	748
365	431	746
366	431	744
367	432	742
368	433	740
369	434	739
370	436	739
371	436	737
372	437	735
373	438	734
374	439	732
375	440	730
376	440	728
377	441	727
378	442	725
379	443	723
380	444	721
381	445	720
382	445	718
383	446	716
384	447	714
385	448	712
386	449	711
387	450	710
388	450	708
389	451	706
390	452	704
391	453	702
392	453	700
393	454	699
394	455	697
395	457	697
396	458	695
397	458	694
398	459	692
399	460	690
400	461	689
401	462	687
402	463	686
403	464	684
404	464	683
405	465	681
406	466	679
407	467	677
408	467	676
409	468	674
410	469	672
411	470	670
412	471	669
413	472	668
414	473	666
415	474	665
416	475	664
417	475	662
418	476	661
419	477	659
420	478	658
421	479	657
422	480	655
423	481	654
424	482	652
425	482	650
426	483	649
427	484	647
428	485	646
429	486	645
430	487	644
431	488	642
432	489	640
433	490	639
434	490	637
435	491	635
436	492	634
437	493	633
438	494	631
439	495	630
440	495	628
441	496	627
442	497	625
443	497	623
444	498	621
445	499	620
446	500	619
447	501	618
448	502	616
449	503	614
450	503	613
451	504	612
452	505	610
453	506	609
454	507	608
455	508	606
456	509	605
457	510	603
458	510	602
459	511	600
460	512	599
461	513	597
462	515	597
463	516	596
464	517	595
465	518	594
466	519	592
467	519	590
468	520	589
469	522	588
470	522	587
471	523	585
472	524	584
473	525	582
474	525	581
475	526	579
476	527	577
477	527	576
478	528	574
479	529	574
480	530	572
481	531	571
482	532	569
483	532	568
484	533	566
485	534	565
486	534	563
487	535	561
488	536	561
489	537	559
490	538	558
491	539	556
492	539	555
493	540	553
494	541	552
495	542	550
496	542	549
497	544	548
498	545	547
499	545	545
500	546	544
501	547	542
502	548	541
503	548	539
504	549	538
505	549	536
506	551	535
507	552	534
508	552	533
509	553	531
510	554	530
511	555	529
512	555	527
513	556	526
514	557	524
515	558	523
516	559	522
517	560	521
518	560	519
519	561	518
520	561	516
521	562	515
522	563	513
523	563	512
524	564	510
525	565	509
526	566	508
527	567	506
528	567	505
529	568	504
530	568	502
531	569	501
532	570	499
533	570	498
534	571	496
535	572	495
536	573	494
537	574	493
538	575	491
539	575	490
540	576	488
541	576	487
542	577	486
543	578	484
544	578	483
545	579	482
546	580	481
547	581	479
548	582	478
549	582	476
550	583	475
551	584	474
552	584	472
553	585	471
554	586	469
555	586	468
556	587	467
557	588	466
558	589	464
559	589	463
560	590	462
561	591	460
562	591	459
563	592	457
564	592	456
565	593	455
566	594	453
567	595	452
568	596	451
569	596	450
570	597	448
571	598	447
572	598	446
573	599	444
574	600	443
575	600	442
576	601	440
577	602	440
578	603	438
579	604	437
580	604	436
581	605	434
582	606	433
583	606	432
584	607	430
585	608	429
586	608	428
587	609	427
588	610	426
589	611	424
590	612	424
591	613	422
592	614	421
593	614	420
594	615	419
595	616	417
596	617	416
597	618	415
598	618	414
599	619	412
600	619	411
601	620	410
602	621	408
603	621	407
604	622	406
605	623	405
606	623	403
607	625	403
608	625	401
609	626	400
610	627	399
611	628	398
612	629	397
613	629	395
614	630	394
615	631	393
616	632	392
617	632	391
618	633	389
619	634	388
620	634	387
621	635	386
622	636	384
623	636	383
624	637	382
625	637	381
626	638	380
627	639	379
628	640	377
629	641	376
630	642	375
631	642	374
632	643	373
633	644	371
634	644	370
635	645	369
636	646	368
637	647	367
638	647	366
639	648	364
640	649	363
641	649	362
642	650	361
643	651	359
644	651	358
645	652	357
646	652	356
647	654	355
648	655	354
649	655	353
650	656	351
651	657	350
652	657	349
653	658	348
654	658	347
655	659	345
656	660	344
657	661	343
658	662	342
659	662	341
660	663	340
661	664	339
662	664	337
663	665	336
664	665	335
665	666	334
666	667	333
667	668	332
668	669	331
669	669	329
670	670	328
671	671	327
672	671	326
673	672	325
674	673	324
675	673	322
676	674	321
677	675	320
678	676	319
679	676	318
680	677	317
681	678	316
682	678	315
683	679	313
684	680	312
685	681	311
686	682	310
687	683	310
688	684	308
689	685	307
690	685	306
691	686	305
692	687	304
693	688	303
694	688	302
695	689	301
696	690	300
697	691	299
698	691	297
699	692	296
700	693	295
701	694	294
702	694	293
703	695	292
704	695	291
705	696	290
706	697	289
707	698	287
708	698	286
709	699	285
710	700	284
711	700	283
712	701	282
713	702	281
714	703	280
715	704	279
716	705	278
717	706	277
718	707	276
719	707	275
720	708	274
721	709	273
722	710	272
723	710	270
724	711	269
725	712	268
726	713	267
727	713	266
728	714	265
729	715	264
730	715	263
731	716	262
732	717	261
733	717	260
734	718	258
735	719	257
736	720	257
737	721	255
738	721	254
739	722	253
740	723	252
741	723	251
742	724	250
743	724	249
744	725	248
745	726	247
746	727	246
747	728	245
748	728	244
749	729	243
750	729	242
751	730	240
752	731	239
753	731	238
754	732	237
755	733	236
756	733	235
757	735	234
758	736	233
759	736	232
760	737	231
761	738	230
762	738	229
763	740	228
764	741	227
765	741	226
766	742	225
767	743	224
768	743	223
769	744	222
770	744	221
771	745	220
772	746	219
773	746	218
774	748	217
775	749	216
776	749	215
777	750	214
778	751	213
779	752	212
780	752	211
781	753	210
782	754	209
783	755	208
784	755	207
785	756	206
786	757	205
787	758	203
788	758	202
789	759	201
790	760	200
791	761	199
792	762	199
793	763	198
794	763	196
795	764	195
796	765	194
797	765	193
798	766	192
799	767	191
800	767	190
801	768	189
802	769	188
803	770	187
804	770	186
805	771	185
806	772	184
807	772	183
808	773	182
809	774	181
810	774	180
811	775	179
812	776	178
813	777	177
814	777	176
815	778	175
816	779	174
817	779	173
818	780	172
819	781	171
820	781	170
821	782	169
822	783	168
823	784	167
